fund_type,FundCode,ShareClassName,ClassIdentifier,FundCurrency,ShareClassCurrency,RFSSGP,Objective,Fund_Name,domicile,legal_structure,launch_date,Umbrella Name,ucits_ongoing_charge,ucits_ongoing_charge_as_at_date,prips_on_going_charges,prips_charges_as_at_date,"SELLING_FOR_COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,05,Janus Henderson Growth and Income Fund - R Shares,US47103C6214,USD,USD,N,"""""",Janus Henderson Growth and Income Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,05,Janus Henderson Growth and Income Fund - I Shares,US47103C6396,USD,USD,N,"""""",Janus Henderson Growth and Income Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,05,Janus Henderson Growth and Income Fund - C Shares,US47103C6479,USD,USD,N,"""""",Janus Henderson Growth and Income Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,05,Janus Henderson Growth and Income Fund - A Shares,US47103C6545,USD,USD,N,"""""",Janus Henderson Growth and Income Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,05,Janus Henderson Growth and Income Fund - N Shares,US47103D8680,USD,USD,N,"""""",Janus Henderson Growth and Income Fund,US,US Mutual Fund,2012-05-31T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,05,Janus Henderson Growth and Income Fund - D Shares,US47103E8416,USD,USD,N,"""""",Janus Henderson Growth and Income Fund,US,US Mutual Fund,2010-02-16T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,06,Janus Henderson Global Research Fund - T Shares,US4710233093,USD,USD,N,"""""",Janus Henderson Global Research Fund,US,US Mutual Fund,2005-02-25T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,06,Janus Henderson Global Research Fund - S Shares,US47103C2742,USD,USD,N,"""""",Janus Henderson Global Research Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,06,Janus Henderson Global Research Fund - R Shares,US47103C2825,USD,USD,N,"""""",Janus Henderson Global Research Fund,US,US Mutual Fund,2013-03-15T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,06,Janus Henderson Global Research Fund - I Shares,US47103C2908,USD,USD,N,"""""",Janus Henderson Global Research Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,06,Janus Henderson Global Research Fund - C Shares,US47103C3161,USD,USD,N,"""""",Janus Henderson Global Research Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,06,Janus Henderson Global Research Fund  - A Shares,US47103C3245,USD,USD,N,"""""",Janus Henderson Global Research Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,06,Janus Henderson Global Research Fund - N Shares,US47103D7773,USD,USD,N,"""""",Janus Henderson Global Research Fund,US,US Mutual Fund,2012-05-31T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,06,Janus Henderson Global Research Fund - D Shares,US47103E6683,USD,USD,N,"""""",Janus Henderson Global Research Fund,US,US Mutual Fund,2010-02-16T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,08,Janus Henderson Balanced Fund - T Shares,US4710238795,USD,USD,N,"""""",Janus Henderson Balanced Fund,US,US Mutual Fund,1992-08-27T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,08,Janus Henderson Balanced Fund - A Shares,US47103C5067,USD,USD,N,"""""",Janus Henderson Balanced Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,08,Janus Henderson Balanced Fund - C Shares,US47103C6057,USD,USD,N,"""""",Janus Henderson Balanced Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,08,Janus Henderson Balanced Fund - I Shares,US47103C7048,USD,USD,N,"""""",Janus Henderson Balanced Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,08,Janus Henderson Balanced Fund - R Shares,US47103C8038,USD,USD,N,"""""",Janus Henderson Balanced Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,08,Janus Henderson Balanced Fund - S Shares,US47103C8863,USD,USD,N,"""""",Janus Henderson Balanced Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,08,Janus Henderson Balanced Fund - N Shares,US47103D1081,USD,USD,N,"""""",Janus Henderson Balanced Fund,US,US Mutual Fund,2012-05-31T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,08,Janus Henderson Balanced Fund - D Shares,US47103E2054,USD,USD,N,"""""",Janus Henderson Balanced Fund,US,US Mutual Fund,2010-02-16T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,09,Janus Henderson Enterprise Fund - T Shares,US4710238043,USD,USD,N,"""""",Janus Henderson Enterprise Fund,US,US Mutual Fund,1992-08-27T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,09,Janus Henderson Enterprise Fund - S Shares,US47103C7790,USD,USD,N,"""""",Janus Henderson Enterprise Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,09,Janus Henderson Enterprise Fund - R Shares,US47103C7873,USD,USD,N,"""""",Janus Henderson Enterprise Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,09,Janus Henderson Enterprise Fund - I Shares,US47103C7956,USD,USD,N,"""""",Janus Henderson Enterprise Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,09,Janus Henderson Enterprise Fund - C Shares,US47103C8111,USD,USD,N,"""""",Janus Henderson Enterprise Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,09,Janus Henderson Enterprise Fund - A Shares,US47103C8293,USD,USD,N,"""""",Janus Henderson Enterprise Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,09,Janus Henderson Enterprise Fund - N Shares,US47103D4051,USD,USD,N,"""""",Janus Henderson Enterprise Fund,US,US Mutual Fund,2012-05-31T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,09,Janus Henderson Enterprise Fund - D Shares,US47103E4035,USD,USD,N,"""""",Janus Henderson Enterprise Fund,US,US Mutual Fund,2010-02-16T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,100,Janus Henderson Small Cap Value Fund - L Shares,US4710235643,USD,USD,N,"""""",Janus Henderson Small Cap Value Fund,US,US Mutual Fund,2003-04-17T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,100,Janus Henderson Small Cap Value Fund - T Shares,US4710235726,USD,USD,N,"""""",Janus Henderson Small Cap Value Fund,US,US Mutual Fund,2003-04-17T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,100,Janus Henderson Small Cap Value Fund - S Shares,US47103C1678,USD,USD,N,"""""",Janus Henderson Small Cap Value Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,100,Janus Henderson Small Cap Value Fund - R Shares,US47103C1751,USD,USD,N,"""""",Janus Henderson Small Cap Value Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,100,Janus Henderson Small Cap Value Fund - I Shares,US47103C1835,USD,USD,N,"""""",Janus Henderson Small Cap Value Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,100,Janus Henderson Small Cap Value Fund - C Shares,US47103C1918,USD,USD,N,"""""",Janus Henderson Small Cap Value Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,100,Janus Henderson Small Cap Value Fund - A Shares,US47103C2171,USD,USD,N,"""""",Janus Henderson Small Cap Value Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,100,Janus Henderson Small Cap Value Fund - N Shares,US47103D7286,USD,USD,N,"""""",Janus Henderson Small Cap Value Fund,US,US Mutual Fund,2012-05-31T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,100,Janus Henderson Small Cap Value Fund - D Shares,US47103E6436,USD,USD,N,"""""",Janus Henderson Small Cap Value Fund,US,US Mutual Fund,2010-02-16T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,102,Janus Henderson Mid Cap Value Fund - T Shares,US4710235981,USD,USD,N,"""""",Janus Henderson Mid Cap Value Fund,US,US Mutual Fund,2003-04-17T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,102,Janus Henderson Mid Cap Value Fund - S Shares,US47103C2254,USD,USD,N,"""""",Janus Henderson Mid Cap Value Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,102,Janus Henderson Mid Cap Value Fund - R Shares,US47103C2338,USD,USD,N,"""""",Janus Henderson Mid Cap Value Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,102,Janus Henderson Mid Cap Value Fund - I Shares,US47103C2411,USD,USD,N,"""""",Janus Henderson Mid Cap Value Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,102,Janus Henderson Mid Cap Value Fund - C Shares,US47103C2585,USD,USD,N,"""""",Janus Henderson Mid Cap Value Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,102,Janus Henderson Mid Cap Value Fund - A Shares,US47103C2668,USD,USD,N,"""""",Janus Henderson Mid Cap Value Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,102,Janus Henderson Mid Cap Value Fund - N Shares,US47103D7443,USD,USD,N,"""""",Janus Henderson Mid Cap Value Fund,US,US Mutual Fund,2012-05-31T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,102,Janus Henderson Mid Cap Value Fund - D Shares,US47103E6501,USD,USD,N,"""""",Janus Henderson Mid Cap Value Fund,US,US Mutual Fund,2010-02-16T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,105,Janus Henderson VIT Mid Cap Value Portfolio Institutional Class,US4710214366,USD,USD,N,"""""",Janus Henderson Mid Cap Value Portfolio,US,-,2003-05-01T00:00:00.000Z,JAS,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,105,Janus Henderson VIT Mid Cap Value Portfolio Service Class,US4710214515,USD,USD,N,"""""",Janus Henderson Mid Cap Value Portfolio,US,-,2002-12-31T00:00:00.000Z,JAS,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,11,Janus Henderson Short Duration Flexible Bond Fund - S Shares,US4710232343,USD,USD,N,"""""",Janus Henderson Short Duration Flexible Bond Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,11,Janus Henderson Short Duration Flexible Bond Fund - I Shares,US4710232426,USD,USD,N,"""""",Janus Henderson Short Duration Flexible Bond Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,11,Janus Henderson Short Duration Flexible Bond Fund - C Shares,US4710232590,USD,USD,N,"""""",Janus Henderson Short Duration Flexible Bond Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,11,Janus Henderson Short Duration Flexible Bond Fund - A Shares,US4710232673,USD,USD,N,"""""",Janus Henderson Short Duration Flexible Bond Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,11,Janus Henderson Short Duration Flexible Bond Fund - T Shares,US4710238878,USD,USD,N,"""""",Janus Henderson Short Duration Flexible Bond Fund,US,US Mutual Fund,1992-08-27T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,11,Janus Henderson Short Duration Flexible Bond Fund - N Shares,US47103D8193,USD,USD,N,"""""",Janus Henderson Short Duration Flexible Bond Fund,US,US Mutual Fund,2012-05-31T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,11,Janus Henderson Short Duration Flexible Bond Fund - D Shares,US47103E7426,USD,USD,N,"""""",Janus Henderson Short Duration Flexible Bond Fund,US,US Mutual Fund,2010-02-16T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,113,Janus Henderson Triton Fund - T Shares,US4710235494,USD,USD,N,"""""",Janus Henderson Triton Fund,US,US Mutual Fund,2005-02-25T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,113,Janus Henderson Triton Fund - S Shares,US47103C3328,USD,USD,N,"""""",Janus Henderson Triton Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,113,Janus Henderson Triton Fund - R Shares,US47103C3401,USD,USD,N,"""""",Janus Henderson Triton Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,113,Janus Henderson Triton Fund - I Shares,US47103C3575,USD,USD,N,"""""",Janus Henderson Triton Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,113,Janus Henderson Triton Fund - C Shares,US47103C3658,USD,USD,N,"""""",Janus Henderson Triton Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,113,Janus Henderson Triton Fund - A Shares,US47103C3732,USD,USD,N,"""""",Janus Henderson Triton Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,113,Janus Henderson Triton Fund - N Shares,US47103D7930,USD,USD,N,"""""",Janus Henderson Triton Fund,US,US Mutual Fund,2012-05-31T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,113,Janus Henderson Triton Fund - D Shares,US47103E6923,USD,USD,N,"""""",Janus Henderson Triton Fund,US,US Mutual Fund,2010-02-16T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,119,Janus Henderson Adaptive Risk Managed U.S. Equity Fund - T Shares,US47103A6828,USD,USD,N,"""""",Janus Henderson Adaptive Risk Managed U.S. Equity Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,119,Janus Henderson Adaptive Risk Managed U.S. Equity Fund - S Shares,US47103A6901,USD,USD,N,"""""",Janus Henderson Adaptive Risk Managed U.S. Equity Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,119,Janus Henderson Adaptive Risk Managed U.S. Equity Fund - I Shares,US47103A7164,USD,USD,N,"""""",Janus Henderson Adaptive Risk Managed U.S. Equity Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,119,Janus Henderson Adaptive Risk Managed U.S. Equity Fund - C Shares,US47103A7248,USD,USD,N,"""""",Janus Henderson Adaptive Risk Managed U.S. Equity Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,119,Janus Henderson Adaptive Risk Managed U.S. Equity Fund - A Shares,US47103A7321,USD,USD,N,"""""",Janus Henderson Adaptive Risk Managed U.S. Equity Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,119,Janus Henderson Adaptive Risk Managed U.S. Equity Fund - D Shares,US47103D3145,USD,USD,N,"""""",Janus Henderson Adaptive Risk Managed U.S. Equity Fund,US,US Mutual Fund,2014-12-22T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,119,Janus Henderson Adaptive Risk Managed U.S. Equity Fund - Class N,US47103E1221,USD,USD,N,"""""",Janus Henderson Adaptive Risk Managed U.S. Equity Fund,US,US Mutual Fund,2014-10-28T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,12,Janus Henderson Research Fund - S Shares,US4710232756,USD,USD,N,"""""",Janus Henderson Research Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,12,Janus Henderson Research Fund - I Shares,US4710232830,USD,USD,N,"""""",Janus Henderson Research Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,12,Janus Henderson Research Fund - C Shares,US4710232913,USD,USD,N,"""""",Janus Henderson Research Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,12,Janus Henderson Research Fund - A Shares,US4710233176,USD,USD,N,"""""",Janus Henderson Research Fund,US,US Mutual Fund,2009-07-02T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,12,Janus Henderson Research Fund - T Shares,US4710238530,USD,USD,N,"""""",Janus Henderson Research Fund,US,US Mutual Fund,1993-04-20T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,12,Janus Henderson Research Fund - R Shares,US47103D1735,USD,USD,N,"""""",Janus Henderson Research Fund,US,US Mutual Fund,2017-01-27T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,12,Janus Henderson Research Fund - N Shares,US47103D8276,USD,USD,N,"""""",Janus Henderson Research Fund,US,US Mutual Fund,2012-05-31T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
RETAIL,12,Janus Henderson Research Fund - D Shares,US47103E7590,USD,USD,N,"""""",Janus Henderson Research Fund,US,US Mutual Fund,2010-02-16T00:00:00.000Z,JIF,"""""","""""","""""","""""","US,,,,,,,,,,,,,,,,,,,,,,,,,,,"
