ISIN,Investment Objective (M* KIID Objective/Investment Policy)
GB00BF2DDD50,"Objective and investment policy Objective The Fund aims to provide a sustainably high income return with the prospect for some capital growth whilst maintaining a moderate to moderately low level of volatility (variation of returns) overthe mediumto longterm (5 years or more). Maintainingthe volatility ofthe Fund within defined limits,while not guaranteed, is prioritised over the generation of income. Investment policy The Fund invests in Collective Investment Schemes (other funds including those managed by Janus Henderson and Exchange Traded Funds) to provide diversified global exposure to a range of assets including bonds issued by companies and governments, company shares (equities), andto a lesser extent, alternative assets such as property and commodities. The Fund may invest directly in other assets including shares (equities), bonds, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to Distribution Technology (an independent risk rating body) risk profile level '4' as referenced in the Fund's name,asthis relatestothetarget risk profile oftheFund.The investmentmanager has a high degree of freedom to choose individual investments for the Fund. Strategy The investmentmanager believes that by building a genuinely multi asset portfolio with an active approach to asset allocation and instrument selection,it is possibleto generate an attractive combination of risk and return characteristics, while targeting the generation of regular natural income. This philosophy is put to work for this fund,which seeks to generate attractive total returns while remaining within clearly-defined risk parameters.The investment process combines both internal and external research to construct a view on the outlook for different asset classes, an assessment of the most suitable income generating assets to meet the Fund's objective, and a robust risk management framework. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares in which net income may be paid out to investors). Recommendation Designed to be bought in conjunction with an attitude to risk tool as part of the financial advice process and therefore designed to be bought by advised clients only. This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. You can buy,sell or switch shares inthe Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossary on ourwebsite atwww.janushenderson.com"
GB00BKPHV137,"Objective The Fund aims to provide a sustainably high income return with the prospect for some capital growth whilst maintaining a moderate to moderately low level of volatility (variation of returns) over the medium to long term (5 years or more). Maintaining the volatility of the Fund within defined limits, while not guaranteed, is prioritised over the generation of income. Investment policy The Fund invests in Collective Investment Schemes (other funds including those managed by Janus Henderson and ExchangeTraded Funds) to provide diversified global exposure to a range of assets including bonds issued by companies and governments, company shares (equities), and to a lesser extent, alternative assets such as property and commodities. The Fund may invest directly in other assets including shares (equities), bonds, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to Distribution Technology (an independent risk rating body) risk profile level '4' as referenced in the Fund's name, as this relates to the target risk profile of the Fund. The investment manager has a high degree of freedom to choose individual investments for the Fund. Strategy The investment manager believe that by building a genuinely multi asset portfolio with an active approach to asset allocation and instrument selection, it is possible to generate an attractive combination of risk and return characteristics, while targeting the generation of regular natural income. This philosophy is put towork for this fund, which seeks to generate attractive total returns while remaining within clearly-defined risk parameters. The investment process combines both internal and external research to construct a view on the outlook for different asset classes, an assessment of the most suitable income generating assets to meet the Fund's objective, and a robust risk management framework. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares inwhich net income may be paid out to investors). Recommendation Designed to be bought in conjunction with an attitude to risk tool as part of the financial advice process and therefore designed to be bought by advised clients only. This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. You can buy, sell or switch shares in the Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossary on our website at www.janushenderson.com."
GB00B9DFQH34,"Objective and investment policy Objective The Fund aims to provide a sustainably high income return with the prospect for some capital growth whilst maintaining a moderate to moderately low level of volatility (variation of returns) overthe mediumto longterm (5 years or more). Maintainingthe volatility ofthe Fund within defined limits,while not guaranteed, is prioritised over the generation of income. Investment policy The Fund invests in Collective Investment Schemes (other funds including those managed by Janus Henderson and Exchange Traded Funds) to provide diversified global exposure to a range of assets including bonds issued by companies and governments, company shares (equities), andto a lesser extent, alternative assets such as property and commodities. The Fund may invest directly in other assets including shares (equities), bonds, cash and money market instruments. The Investment Manager may use derivatives (complex financial instruments) with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to Distribution Technology (an independent risk rating body) risk profile level '4' as referenced in the Fund's name,asthis relatestothetarget risk profile oftheFund.TheInvestmentManager has a high degree of freedom to choose individual investments for the Fund. Strategy TheInvestmentManager believesthat by building a genuinelymulti asset portfolio with an active approachto asset allocation and instrumentselection,it is possible to generate an attractive combination of risk and return characteristics, while targeting the generation of regular natural income. This philosophy is put to workforthisfund,whichseeksto generate attractivetotal returnswhile remaining within clearly-defined risk parameters.The investment process combines both internal and external research to construct a view on the outlook for different asset classes, an assessment of the most suitable income generating assets to meet the Fund's objective, and a robust risk management framework. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares in which net income may be paid out to investors). Recommendation Designed to be bought in conjunction with an attitude to risk tool as part of the financial advice process and therefore designed to be bought by advised clients only. This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. You can buy,sell or switch shares inthe Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus."
GB00BF2DDF74,"Objective and investment policy Objective The Fund aims to provide a sustainably high income return with the prospect for some capital growth whilst maintaining a moderate to moderately low level of volatility (variation of returns) overthe mediumto longterm (5 years or more). Maintainingthe volatility ofthe Fund within defined limits,while not guaranteed, is prioritised over the generation of income. Investment policy The Fund invests in Collective Investment Schemes (other funds including those managed by Janus Henderson and Exchange Traded Funds) to provide diversified global exposure to a range of assets including bonds issued by companies and governments, company shares (equities), andto a lesser extent, alternative assets such as property and commodities. The Fund may invest directly in other assets including shares (equities), bonds, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to Distribution Technology (an independent risk rating body) risk profile level '4' as referenced in the Fund's name,asthis relatestothetarget risk profile oftheFund.The investmentmanager has a high degree of freedom to choose individual investments for the Fund. Strategy The investmentmanager believesthat by building a genuinelymulti asset portfolio with an active approachto asset allocation and instrumentselection,it is possible to generate an attractive combination of risk and return characteristics, while targeting the generation of regular natural income. This philosophy is put to workforthisfund,whichseeksto generate attractivetotal returnswhile remaining within clearly-defined risk parameters.The investment process combines both internal and external research to construct a view on the outlook for different asset classes, an assessment of the most suitable income generating assets to meet the Fund's objective, and a robust risk management framework. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares in which net income may be paid out to investors). Recommendation Designed to be bought in conjunction with an attitude to risk tool as part of the financial advice process and therefore designed to be bought by advised clients only. This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. You can buy,sell or switch shares inthe Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus."
GB00B94Q8L39,"Objective The Fund aims to provide a sustainably high income return with the prospect for some capital growth whilst maintaining a moderate to moderately lowlevel of volatility (variation of returns) over the medium to long term (5 years or more). Maintaining the volatility of the Fund within defined limits,while not guaranteed, is prioritised over the generation of income. Investment policy The Fund invests in Collective Investment Schemes (other funds including those managed by Janus Henderson and ExchangeTraded Funds) to provide diversified global exposure to a range of assets including bonds issued by companies and governments,companyshares (equities),and to a lesser extent, alternative assets such as property and commodities. The Fundmayinvest directly in other assets including shares (equities), bonds, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to Distribution Technology (an independent risk rating body) risk profile level '4' as referenced in the Fund's name,asthis relates tothe target risk profile of the Fund.Theinvestmentmanager has a high degree of freedom to choose individual investments for the Fund. Strategy Theinvestmentmanagerbelievesthatby buildingagenuinelymulti asset portfolio with an active approach to asset allocationandinstrument selection, it is possible to generate an attractive combination of risk and return characteristics, while targeting the generation of regular natural income. This philosophy is put to work for this fund,which seeks to generateattractivetotal returns while remaining within clearly-defined risk parameters.The investment process combines both internal and external research to construct a view on the outlook for different asset classes, an assessment of the most suitable income generating assets to meet the Fund's objective, and a robust risk management framework. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares inwhich net income may be paid out to investors). Recommendation Designed to be bought in conjunction with an attitude to risk tool as part of the financial advice process and therefore designed to be bought by advised clients only. This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. You can buy, sell or switch shares in the Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossaryonourwebsite atwww.janushenderson.com."
GB00B89YS045,"Objective and investment policy Objective The Fund aims to provide a sustainably high income return with the prospect for some capital growth whilstmaintaining amoderate level of volatility (variation of returns) over the medium to long term (5 years or more). Maintaining the volatility of the Fund within defined limits, while not guaranteed, is prioritised over the generation of income. Investment policy The Fund invests in Collective Investment Schemes (other funds including those managed by Janus Henderson and Exchange Traded Funds) to provide diversified global exposure to a range of assets including bonds issued by companies and governments, company shares (equities), andto a lesser extent, alternative assets such as property and commodities. The Fund may invest directly in other assets including shares (equities), bonds, cash and money market instruments. The Investment Manager may use derivatives (complex financial instruments) with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to Distribution Technology (an independent risk rating body) risk profile level '5' as referenced in the Fund's name,asthis relatestothetarget risk profile oftheFund.TheInvestmentManager has a high degree of freedom to choose individual investments for the Fund. Strategy TheInvestmentManager believesthat by building a genuinelymulti asset portfolio with an active approachto asset allocation and instrumentselection,it is possible to generate an attractive combination of risk and return characteristics, while targeting the generation of regular natural income. This philosophy is put to workforthisfund,whichseeksto generate attractivetotal returnswhile remaining within clearly-defined risk parameters.The investment process combines both internal and external research to construct a view on the outlook for different asset classes, an assessment of the most suitable income generating assets to meet the Fund's objective, and a robust risk management framework. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares in which net income may be paid out to investors). Recommendation Designed to be bought in conjunction with an attitude to risk tool as part of the financial advice process and therefore designed to be bought by advised clients only. This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. You can buy,sell or switch shares inthe Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossary on ourwebsite atwww.janushenderson.com."
GB00BF2DDG81,"Objective The Fund aims to provide a sustainably high income return with the prospect for some capital growth whilst maintaining a moderate level of volatility (variation of returns) over the medium to long term (5 years or more). Maintaining the volatility of the Fund within defined limits, while not guaranteed, is prioritised over the generation of income. Investment policy The Fund invests in Collective Investment Schemes (other funds including those managed by Janus Henderson and ExchangeTraded Funds) to provide diversified global exposure to a range of assets including bonds issued by companies and governments, company shares (equities), and to a lesser extent, alternative assets such as property and commodities. The Fund may invest directly in other assets including shares (equities), bonds, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to Distribution Technology (an independent risk rating body) risk profile level '5' as referenced in the Fund's name, as this relates to the target risk profile of the Fund. The investment manager has a high degree of freedom to choose individual investments for the Fund. Strategy The investment manager believes that by building a genuinely multi asset portfolio with an active approach to asset allocation and instrument selection, it is possible to generate an attractive combination of risk and return characteristics, while targeting the generation of regular natural income. This philosophy is put towork for this fund, which seeks to generate attractive total returns while remaining within clearly-defined risk parameters. The investment process combines both internal and external research to construct a view on the outlook for different asset classes, an assessment of the most suitable income generating assets to meet the Fund's objective, and a robust risk management framework. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares inwhich net income may be paid out to investors). Recommendation Designed to be bought in conjunction with an attitude to risk tool as part of the financial advice process and therefore designed to be bought by advised clients only. This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. You can buy, sell or switch shares in the Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus."
GB00B8J9TP16,"Objective and investment policy Objective The Fund aims to provide a sustainably high income return with the prospect for some capital growth whilstmaintaining amoderate level of volatility (variation of returns) over the medium to long term (5 years or more). Maintaining the volatility of the Fund within defined limits, while not guaranteed, is prioritised over the generation of income. Investment policy The Fund invests in Collective Investment Schemes (other funds including those managed by Janus Henderson and Exchange Traded Funds) to provide diversified global exposure to a range of assets including bonds issued by companies and governments, company shares (equities), andto a lesser extent, alternative assets such as property and commodities. The Fund may invest directly in other assets including shares (equities), bonds, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to Distribution Technology (an independent risk rating body) risk profile level '5' as referenced in the Fund's name,asthis relatestothetarget risk profile oftheFund.The investmentmanager has a high degree of freedom to choose individual investments for the Fund. Strategy The investmentmanager believesthat by building a genuinelymulti asset portfolio with an active approachto asset allocation and instrumentselection,it is possible to generate an attractive combination of risk and return characteristics, while targeting the generation of regular natural income. This philosophy is put to workforthisfund,whichseeksto generate attractivetotal returnswhile remaining within clearly-defined risk parameters.The investment process combines both internal and external research to construct a view on the outlook for different asset classes, an assessment of the most suitable income generating assets to meet the Fund's objective, and a robust risk management framework. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares in which net income may be paid out to investors). Recommendation Designed to be bought in conjunction with an attitude to risk tool as part of the financial advice process and therefore designed to be bought by advised clients only. This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. You can buy,sell or switch shares inthe Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus."
GB00BKPHV350,"Objective The Fund aims to provide a sustainably high income return with the prospect for some capital growth whilst maintaining a moderate level of volatility (variation of returns) over the medium to long term (5 years or more). Maintaining the volatility of the Fund within defined limits, while not guaranteed, is prioritised over the generation of income. Investment policy The Fund invests in Collective Investment Schemes (other funds including those managed by Janus Henderson and ExchangeTraded Funds) to provide diversified global exposure to a range of assets including bonds issued by companies and governments, company shares (equities), and to a lesser extent, alternative assets such as property and commodities. The Fund may invest directly in other assets including shares (equities), bonds, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to Distribution Technology (an independent risk rating body) risk profile level '5' as referenced in the Fund's name, as this relates to the target risk profile of the Fund. The investment manager has a high degree of freedom to choose individual investments for the Fund. Strategy The investment manager believes that by building a genuinely multi asset portfolio with an active approach to asset allocation and instrument selection, it is possible to generate an attractive combination of risk and return characteristics, while targeting the generation of regular natural income. This philosophy is put towork for this fund, which seeks to generate attractive total returns while remaining within clearly-defined risk parameters. The investment process combines both internal and external research to construct a view on the outlook for different asset classes, an assessment of the most suitable income generating assets to meet the Fund's objective, and a robust risk management framework. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares inwhich net income may be paid out to investors). Recommendation Designed to be bought in conjunction with an attitude to risk tool as part of the financial advice process and therefore designed to be bought by advised clients only. This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. You can buy, sell or switch shares in the Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus."
GB00B8J9W526,"Objective and investment policy Objective The Fund aims to provide a sustainably high income return with the prospect for somecapital growth whilst maintaining a moderate level of volatility (variation of returns) over the medium to long term (5 years or more). Maintaining the volatility of the Fund within defined limits, while not guaranteed, is prioritised over the generation of income. Investment policy The Fund invests in Collective Investment Schemes (other funds including those managed by Janus Henderson and ExchangeTraded Funds) to provide diversified global exposure to a range of assets including bonds issued by companies and governments,companyshares (equities),and to a lesser extent, alternative assets such as property and commodities. The Fundmayinvest directly in other assets including shares (equities), bonds, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to Distribution Technology (an independent risk rating body) risk profile level '5' as referenced in the Fund's name,asthis relates tothe target risk profile of the Fund.Theinvestmentmanager has a high degree of freedom to choose individual investments for the Fund. Strategy Theinvestmentmanagerbelievesthatby buildingagenuinelymulti asset portfolio with an active approach to asset allocationandinstrument selection, it is possible to generate an attractive combination of risk and return characteristics, while targeting the generation of regular natural income. This philosophy is put to work for this fund,which seeks to generateattractivetotal returns while remaining within clearly-defined risk parameters.The investment process combines both internal and external research to construct a view on the outlook for different asset classes, an assessment of the most suitable income generating assets to meet the Fund's objective, and a robust risk management framework. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares inwhich net income may be paid out to investors). Recommendation Designed to be bought in conjunction with an attitude to risk tool as part of the financial advice process and therefore designed to be bought by advised clients only. This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. You can buy, sell or switch shares in the Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus."
GB00BF2DDH98,"Objective The Fund aims to provide a sustainably high income return with the prospect for somecapital growth whilst maintaining a moderate level of volatility (variation of returns) over the medium to long term (5 years or more). Maintaining the volatility of the Fund within defined limits, while not guaranteed, is prioritised over the generation of income. Investment policy The Fund invests in Collective Investment Schemes (other funds including those managed by Janus Henderson and ExchangeTraded Funds) to provide diversified global exposure to a range of assets including bonds issued by companies and governments,companyshares (equities),and to a lesser extent, alternative assets such as property and commodities. The Fundmayinvest directly in other assets including shares (equities), bonds, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to Distribution Technology (an independent risk rating body) risk profile level '5' as referenced in the Fund's name,asthis relates tothe target risk profile of the Fund.Theinvestmentmanager has a high degree of freedom to choose individual investments for the Fund. Strategy Theinvestmentmanagerbelievesthatby buildingagenuinelymulti asset portfolio with an active approach to asset allocationandinstrument selection, it is possible to generate an attractive combination of risk and return characteristics, while targeting the generation of regular natural income. This philosophy is put to work for this fund,which seeks to generateattractivetotal returns while remaining within clearly-defined risk parameters.The investment process combines both internal and external research to construct a view on the outlook for different asset classes, an assessment of the most suitable income generating assets to meet the Fund's objective, and a robust risk management framework. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares inwhich net income may be paid out to investors). Recommendation Designed to be bought in conjunction with an attitude to risk tool as part of the financial advice process and therefore designed to be bought by advised clients only. This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. You can buy, sell or switch shares in the Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossaryonourwebsite atwww.janushenderson.com."
GB00B7YR0M72,"The Fund aims to provide a sustainably high income return with the prospect for some capital growth whilst maintaining a moderate level of volatility (variation of returns) over the medium to long term (5 years or more). Maintaining the volatility of the Fund within defined limits, while not guaranteed, is prioritised over the generation of income. Investment policy The Fund invests in Collective Investment Schemes (other funds including those managed by Janus Henderson and Exchange Traded Funds) to provide diversified global exposure to a range of assets including bonds issued by companies and governments, company shares (equities), and to a lesser extent, alternative assets such as property and commodities. The Fund may invest directly in other assets including shares (equities), bonds, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is activelymanaged with reference to Distribution Technology (an independent risk rating body) risk profile level '5' as referenced in the Fund's name, as this relates to the target risk profile of the Fund. The investment manager has a high degree of freedom to choose individual investments for the Fund. Strategy The investment manager believes that by building a genuinely multi asset portfoliowith an active approach to asset allocation and instrument selection, it is possible to generate an attractive combination of risk and return characteristics, while targeting the generation of regular natural income. This philosophy is put to work for this fund, which seeks to generate attractive total returns while remaining within clearly-defined risk parameters. The investment process combines both internal and external research to construct a view on the outlook for different asset classes, an assessment of themost suitable income generating assets to meet the Fund's objective, and a robust risk management framework. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares in which net income may be paid out to investors). Recommendation Designed to be bought in conjunction with an attitude to risk tool as part of the financial advice process and therefore designed to be bought by advised clients only. This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. You can buy, sell or switch shares in the Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossary on our website at www.janushenderson.com."
GB00BF2DDJ13,"Objective and investment policy Objective To provide a sustainable income return with the prospect for capital growth whilst maintaining a moderately high level of volatility (variation of returns) over the medium to long term (5 years or more). Maintaining the volatility of the Fundwithin defined limits, while not guaranteed,is prioritisedover thegeneration of income. Investment policy The Fund invests in Collective Investment Schemes (other funds including those managed by Janus Henderson and ExchangeTraded Funds) to provide diversified global exposure to a range of assets including bonds issued by companies and governments,companyshares (equities),and to a lesser extent, alternative assets such as property and commodities. The Fundmayinvest directly in other assets including shares (equities), bonds, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to Distribution Technology (an independent risk rating body) risk profile level '6' as referenced in the Fund's name,asthis relates tothe target risk profile of the Fund.Theinvestmentmanager has a high degree of freedom to choose individual investments for the Fund. Strategy Theinvestmentmanagerbelievesthatby buildingagenuinelymulti asset portfolio with an active approach to asset allocationandinstrument selection, it is possible to generate an attractive combination of risk and return characteristics, while targeting the generation of regular natural income. This philosophy is put to work for this fund,which seeks to generateattractivetotal returns while remaining within clearly-defined risk parameters.The investment process combines both internal and external research to construct a view on the outlook for different asset classes, an assessment of the most suitable income generating assets to meet the Fund's objective, and a robust risk management framework. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares inwhich net income may be paid out to investors). Recommendation Designed to be bought in conjunction with an attitude to risk tool as part of the financial advice process and therefore designed to be bought by advised clients only. This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. You can buy, sell or switch shares in the Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossaryonourwebsite atwww.janushenderson.com.Objective To provide a sustainable income return with the prospect for capital growth whilst maintaining a moderately high level of volatility (variation of returns) over the medium to long term (5 years or more). Maintaining the volatility of the Fundwithin defined limits, while not guaranteed,is prioritisedover thegeneration of income. Investment policy The Fund invests in Collective Investment Schemes (other funds including those managed by Janus Henderson and ExchangeTraded Funds) to provide diversified global exposure to a range of assets including bonds issued by companies and governments,companyshares (equities),and to a lesser extent, alternative assets such as property and commodities. The Fundmayinvest directly in other assets including shares (equities), bonds, cash and money market instruments. The Investment Manager may use derivatives (complex financial instruments) with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to Distribution Technology (an independent risk rating body) risk profile level '6' as referenced in the Fund's name,asthis relates to the target risk profile of the Fund.TheInvestmentManager has a high degree of freedom to choose individual investments for the Fund. Strategy TheInvestmentManagerbelieves thatby buildingagenuinely multi asset portfolio with an active approach to asset allocationandinstrument selection, it is possible to generate an attractive combination of risk and return characteristics, while targeting the generation of regular natural income. This philosophy is put to work for this fund,which seeks to generateattractivetotal returns while remaining within clearly-defined risk parameters.The investment process combines both internal and external research to construct a view on the outlook for different asset classes, an assessment of the most suitable income generating assets to meet the Fund's objective, and a robust risk management framework. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares inwhich net income may be paid out to investors). Recommendation Designed to be bought in conjunction with an attitude to risk tool as part of the financial advice process and therefore designed to be bought by advised clients only. This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. You can buy, sell or switch shares in the Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossaryonourwebsite atwww.janushenderson.com."
GB00BF2DDK28,"Objective To provide a sustainable income return with the prospect for capital growth whilst maintaining a moderately high level of volatility (variation of returns) over the medium to long term (5 years or more). Maintaining the volatility of the Fundwithin defined limits, while not guaranteed,is prioritisedover thegeneration of income. Investment policy The Fund invests in Collective Investment Schemes (other funds including those managed by Janus Henderson and ExchangeTraded Funds) to provide diversified global exposure to a range of assets including bonds issued by companies and governments,companyshares (equities),and to a lesser extent, alternative assets such as property and commodities. The Fundmayinvest directly in other assets including shares (equities), bonds, cash and money market instruments. The Investment Manager may use derivatives (complex financial instruments) with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to Distribution Technology (an independent risk rating body) risk profile level '6' as referenced in the Fund's name,asthis relates to the target risk profile of the Fund.TheInvestmentManager has a high degree of freedom to choose individual investments for the Fund. Strategy TheInvestmentManagerbelieves thatby buildingagenuinely multi asset portfolio with an active approach to asset allocationandinstrument selection, it is possible to generate an attractive combination of risk and return characteristics, while targeting the generation of regular natural income. This philosophy is put to work for this fund,which seeks to generateattractivetotal returns while remaining within clearly-defined risk parameters.The investment process combines both internal and external research to construct a view on the outlook for different asset classes, an assessment of the most suitable income generating assets to meet the Fund's objective, and a robust risk management framework. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares inwhich net income may be paid out to investors). Recommendation Designed to be bought in conjunction with an attitude to risk tool as part of the financial advice process and therefore designed to be bought by advised clients only. This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. You can buy, sell or switch shares in the Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossaryonourwebsite atwww.janushenderson.com."
GB00B96RS580,"Objective To provide a sustainable income return with the prospect for capital growth whilst maintaining a moderately high level of volatility (variation of returns) over the medium to long term (5 years or more). Maintaining the volatility of the Fundwithin defined limits, while not guaranteed,is prioritisedover thegeneration of income. Investment policy The Fund invests in Collective Investment Schemes (other funds including those managed by Janus Henderson and ExchangeTraded Funds) to provide diversified global exposure to a range of assets including bonds issued by companies and governments,companyshares (equities),and to a lesser extent, alternative assets such as property and commodities. The Fundmayinvest directly in other assets including shares (equities), bonds, cash and money market instruments. The investment manager may use derivatives (complex financial instruments) with the aim of making investment gains in line with the Fund's objective, to reduce risk or to manage the Fund more efficiently. The Fund is actively managed with reference to Distribution Technology (an independent risk rating body) risk profile level '6' as referenced in the Fund's name,asthis relates tothe target risk profile of the Fund.Theinvestmentmanager has a high degree of freedom to choose individual investments for the Fund. Strategy Theinvestmentmanagerbelievesthatby buildingagenuinelymulti asset portfolio with an active approach to asset allocationandinstrument selection, it is possible to generate an attractive combination of risk and return characteristics, while targeting the generation of regular natural income. This philosophy is put to work for this fund,which seeks to generateattractivetotal returns while remaining within clearly-defined risk parameters.The investment process combines both internal and external research to construct a view on the outlook for different asset classes, an assessment of the most suitable income generating assets to meet the Fund's objective, and a robust risk management framework. Distribution policy The Fund offers accumulation shares (shares in which net income is retained within the price) and income shares (shares inwhich net income may be paid out to investors). Recommendation Designed to be bought in conjunction with an attitude to risk tool as part of the financial advice process and therefore designed to be bought by advised clients only. This Fund may not be appropriate for investors who plan to withdraw their money within 5 years. You can buy, sell or switch shares in the Fund on any dealing day and according to certain restrictions, both defined in detail in the Company's Prospectus. For an explanation of some of the terms used in this document, please visit the glossaryonourwebsite atwww.janushenderson.com."
