ISIN,Umbrella,Fund Legal Structure
GB0033330712,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB0033330829,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB0033331017,Janus Henderson Global Funds,Open Ended Investment Company
GB0033331231,Janus Henderson Global Funds,Open Ended Investment Company
GB0033331678,Janus Henderson Global Funds,Open Ended Investment Company
GB0033332080,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB0033365312,,Unit Trust
GB0033514828,,Unit Trust
GB0033515122,,Unit Trust
GB0033681031,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB0033777896,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB0033822007,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB0033822999,Janus Henderson Sustainable/Responsible Funds,Open Ended Investment Company
GB0033840132,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB0033973560,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB0033997940,,Unit Trust
GB0033998021,,Unit Trust
GB0033998138,,Unit Trust
GB0034021427,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB0034021534,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB0034021641,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB0034219328,Janus Henderson Sustainable/Responsible Funds,Open Ended Investment Company
GB0034219435,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB0034219658,Janus Henderson Sustainable/Responsible Funds,Open Ended Investment Company
GB0034219989,Janus Henderson Sustainable/Responsible Funds,Open Ended Investment Company
GB0034276286,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B00K2P80,Janus Henderson Strategic Investment Funds,Open Ended Investment Company
GB00B00K2Q97,Janus Henderson Strategic Investment Funds,Open Ended Investment Company
GB00B00K2R05,Janus Henderson Strategic Investment Funds,Open Ended Investment Company
GB00B00K2Z88,Janus Henderson Strategic Investment Funds,Open Ended Investment Company
GB00B00K3006,Janus Henderson Strategic Investment Funds,Open Ended Investment Company
GB00B00K3113,Janus Henderson Strategic Investment Funds,Open Ended Investment Company
GB00B01RTS09,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B01T1F74,,Unit Trust
GB00B01T1G81,,Unit Trust
GB00B01T2Q54,,Unit Trust
GB00B020H958,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B02W2291,Janus Henderson Investment Funds Series IV,Open Ended Investment Company
GB00B02ZBV03,,Unit Trust
GB00B02ZBX27,,Unit Trust
GB00B03TNM64,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B03TPL97,Janus Henderson Global Funds,Open Ended Investment Company
GB00B03WSZ36,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B046PC03,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B046PF34,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B068CD42,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B06CPG09,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B06G4Z40,Janus Henderson Investment Funds Series IV,Open Ended Investment Company
GB00B06G5068,Janus Henderson Investment Funds Series IV,Open Ended Investment Company
GB00B06G5514,Janus Henderson Investment Funds Series IV,Open Ended Investment Company
GB00B06G5515,Janus Henderson Investment Funds Series IV,Open Ended Investment Company
GB00B06G8Q39,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00B06G8R46,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00B06G8S52,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00B06L7J47,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B06LCP51,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B06T5279,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00B06T5386,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00B06T5493,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00B06T5501,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00B06T5618,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00B06T5725,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00B0C3X746,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B0C6K167,,Unit Trust
GB00B0C9GW89,,Unit Trust
GB00B0D09R62,,Unit Trust
GB00B0H34Y35,,Unit Trust
GB00B0H53J71,,Unit Trust
GB00B0HZFB34,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B0JYQW68,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B0K9KH36,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B0K9N298,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B0K9VW59,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B0K9XZ21,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B0LBR663,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B0LL7Q68,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B0LMB672,,Open Ended Investment Company
GB00B0LYSF14,Janus Henderson Strategic Investment Funds,Open Ended Investment Company
GB00B0LYSG21,Janus Henderson Strategic Investment Funds,Open Ended Investment Company
GB00B0LYSH38,Janus Henderson Strategic Investment Funds,Open Ended Investment Company
GB00B0LZBB16,Janus Henderson Strategic Investment Funds,Open Ended Investment Company
GB00B0MM5X18,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B0MM9F16,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B0N31573,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00B0P42H77,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B0P7Y922,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B0PG4T93,,Open Ended Investment Company
GB00B0PKSC27,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B0YVM244,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B0YVM467,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B0YVNT86,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B0Z1MP63,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B0Z53118,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B0ZDNH16,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B0ZGLT86,Janus Henderson Strategic Investment Funds,Open Ended Investment Company
GB00B0ZGMC84,Janus Henderson Strategic Investment Funds,Open Ended Investment Company
GB00B0ZGMF16,Janus Henderson Strategic Investment Funds,Open Ended Investment Company
GB00B0ZKHN66,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B0ZL9T97,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B0ZL9V10,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B0ZLB823,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B0ZLB930,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B0ZLCP68,,Unit Trust
GB00B0ZLCQ75,,Unit Trust
GB00B0ZLFF75,,Unit Trust
GB00B0ZY6B93,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B10QS005,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00B10QS336,,Open Ended Investment Company
GB00B10QS559,,Unit Trust
GB00B11PYN15,Janus Henderson OEIC,Open Ended Investment Company
GB00B11Q0P86,Janus Henderson OEIC,Open Ended Investment Company
GB00B11Q0R01,Janus Henderson OEIC,Open Ended Investment Company
GB00B11TDF81,,Unit Trust
GB00B11TDH06,Janus Henderson Global Funds,Open Ended Investment Company
GB00B11XYG89,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B13ZX323,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B13ZY511,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B1438639,,Open Ended Investment Company
GB00B1442M04,,Open Ended Investment Company
GB00B1443T48,,Open Ended Investment Company
GB00B17KPM65,,Unit Trust
GB00B17M7824,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B17M7931,,Open Ended Investment Company
GB00B1809L28,Janus Henderson Managed Funds,Unit Trust
GB00B19FLZ44,,Unit Trust
GB00B1CKQF12,Janus Henderson OEIC,Open Ended Investment Company
GB00B1CKS446,Janus Henderson OEIC,Open Ended Investment Company
GB00B1FR8Q49,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B1FR8R55,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B1FR8S62,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B1FR8T79,,Unit Trust
GB00B1GC6T71,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B1GJNX12,,Unit Trust
GB00B1GK1M92,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B1J11W98,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B1J11Y13,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B1J2ST80,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B1J2SW10,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B1J2SY34,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B1J2T060,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B1J2TC88,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B1J2TF10,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B1J36081,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B1J36206,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B1J36420,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B1J36750,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B1J36974,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B1J36C02,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B1L74484,,Unit Trust
GB00B1VGDC62,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B1VGDD79,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B1WMPS38,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B1WMPT45,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B1WMPV66,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B1WPDJ97,,Unit Trust
GB00B1WSC029,,Unit Trust
GB00B1WSC573,,Unit Trust
GB00B1WT7003,Janus Henderson Global Funds,Open Ended Investment Company
GB00B1WT7110,Janus Henderson Sustainable/Responsible Funds,Open Ended Investment Company
GB00B1WT7334,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B1WT7441,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B1WTK343,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B1WTK566,,Unit Trust
GB00B24CM439,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B24CMX25,,Unit Trust
GB00B28THS91,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B29Y5T00,,Unit Trust
GB00B29ZLW82,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B29ZM140,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B2QG5Q65,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B2QG5T96,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B2QG5V19,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B2RKL926,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B2RKLB47,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B2RKLC53,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B2RKLD60,,Unit Trust
GB00B2RKLF84,,Unit Trust
GB00B2RKLG91,,Unit Trust
GB00B2RKSM47,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B2RKT549,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B2RKTR66,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3B4JF96,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3BDK198,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3BDK206,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3BDK420,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B3BDK537,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B3BDK974,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3BDKB93,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3BDPL47,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00B3BDPM53,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00B3BDPP84,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B3BDPQ91,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B3BDPR09,,Unit Trust
GB00B3BDPS16,,Unit Trust
GB00B3BDPT23,Janus Henderson OEIC,Open Ended Investment Company
GB00B3BDPW51,Janus Henderson OEIC,Open Ended Investment Company
GB00B3BDQ773,,Unit Trust
GB00B3BDQ997,,Unit Trust
GB00B3BDQD38,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B3BDQF51,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B3CLNL30,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B3CLNM47,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3CPX151,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3CPX375,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3CT7K45,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3D49X55,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B3DBGZ75,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3DBH095,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3DBH541,,Unit Trust
GB00B3DYKR64,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3FG3931,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B3FG3B57,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3K5YN63,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B3K61166,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B3K61612,,Unit Trust
GB00B3KN5S29,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3KN5V57,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B3KN5W64,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3KN5X71,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3KN6011,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3KN6235,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B3KN8835,,Unit Trust
GB00B3KN8942,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00B3KN8B66,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B3KN8D80,,Unit Trust
GB00B3KN8F05,Janus Henderson OEIC,Open Ended Investment Company
GB00B3KN8M71,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B3KN8N88,,Unit Trust
GB00B3L49Y88,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B3L4B084,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3L4C611,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B3L4CB62,,Unit Trust
GB00B3L4KS97,,Unit Trust
GB00B3LLF521,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3M8NG92,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3MLZ956,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B3MX6Y33,Janus Henderson Investment Funds Series IV,Open Ended Investment Company
GB00B3NBHQ57,,Unit Trust
GB00B3PHCS86,,Closed Ended Investment Company
GB00B3PJPM93,Janus Henderson Multi-Manager Investment OEIC,Open Ended Investment Company
GB00B3QGT273,,Unit Trust
GB00B3QVWG79,,Unit Trust
GB00B3QXJQ23,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3QXM638,,Unit Trust
GB00B3R26X49,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B3RDF749,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3RT4203,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3T32044,Janus Henderson Investment Funds Series II,Open Ended Investment Company
GB00B3T38Z17,,Unit Trust
GB00B3TTQV12,Janus Henderson Strategic Investment Funds,Open Ended Investment Company
GB00B3TVDV62,,Unit Trust
GB00B3VCWF43,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B3VDZ582,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B3VN2918,Janus Henderson Investment Funds Series I,Open Ended Investment Company
GB00B3VZC642,Janus Henderson Investment Fund OEIC,Open Ended Investment Company
GB00B3WR1X97,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B3X5HP65,,Unit Trust
GB00B3XNRK55,,Unit Trust
GB00B3Z2J374,,Unit Trust
GB00B3ZRDK71,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B4078N73,Janus Henderson UK & Europe Funds,Open Ended Investment Company
GB00B409PD29,Janus Henderson UK & Europe Funds,Open Ended Investment Company
